web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1557300516-3064","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@AmberLyon","Amber Lyon","Psychedelic #Mushrooms Could Be The Next Breakthrough Treatment For #Depression http://reset.me/story/can-psychedelic-mushrooms-treat-depression/ …pic.twitter.com/RV2BgWgeZ0","2","55","52","1451247121000","12:12 PM - 27 Dec 2015","/AmberLyon/status/681205917736517632"
"1557300516-2778","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@ThePaintedBrain","Painted Brain LA","Talking to loved ones about #depression alleviates the pressure of being alone. Companionship is a major part of depression treatment. pic.twitter.com/uV4vBTFiZJ","","15","22","1518389708000","2:55 PM - 11 Feb 2018","/ThePaintedBrain/status/962822337849683968"
"1557300516-2651","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Medscape","Medscape","FDA panels vote to recommend approval of esketamine, the controversial new ketamine nasal spray for treatment-resistant #depression. http://ms.spr.ly/6017TD8t9 pic.twitter.com/7CiXaeKBSj","1","14","23","1550084940000","11:09 AM - 13 Feb 2019","/Medscape/status/1095761778628268032"
"1557300516-2792","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@CHarrisBond","Courtenay HarrisBond","I am eager and anxious to be trying a course of transcranial magnetic stimulation to address my treatment-resistant depression #mentalhealth 
#depression #TMS @CarterFellowshttps://whyy.org/articles/lose-chronic-depression-much-will-go/ …","2","3","20","1514303029000","7:43 AM - 26 Dec 2017","/CHarrisBond/status/945681563152510977"
"1557300516-2967","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NAMICommunicate","NAMI","I lived w/ #depression for 6 years before seeking treatment; Denial is a powerful thing #WisdomWednesday #StigmaFree http://www.nami.org/Personal-Stories/My-Depression-Does-Not-Define-Me?utm_source=social&utm_medium=twitter&utm_campaign=personal%20story …","","13","31","1473296437000","6:00 PM - 7 Sep 2016","/NAMICommunicate/status/773687452821233664"
"1557300516-3103","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NAMICommunicate","NAMI","Club Drug Ketamine Gains Traction As A Treatment For Depression http://www.npr.org/sections/health-shots/2015/09/28/443203592/club-drug-ketamine-gains-traction-as-a-treatment-for-depression … #research #treatment @NPR","","3","7","1443654008000","4:00 PM - 30 Sep 2015","/NAMICommunicate/status/649358092119859200"
"1557300516-2965","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@medical_xpress","Medical Xpress","Team finds better, cost-effective #depression treatment for teens http://medx.cc/393582905","","7","6","1474378557000","6:35 AM - 20 Sep 2016","/medical_xpress/status/778226190813388800"
"1557300516-3389","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DBSAlliance","DBSA","What a difference treatment makes! Read 4 lessons on #depression, #bipolar, & #treatment from #Flipswitch: http://ow.ly/br6TQ","","1","1","1341618005000","4:40 PM - 6 Jul 2012","/DBSAlliance/status/221388077434810369"
"1557300516-3298","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Dr_Lanie","Lanie Spaedy, MD","New treatment for depression shows immediate results http://buff.ly/1qH9Hil  Helps #depression in minutes, meds take weeks! #mentalhealth","2","5","4","1407080389000","8:39 AM - 3 Aug 2014","/Dr_Lanie/status/495957215858397184"
"1557300516-2801","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@AnnalsofIM","Annals of Int Med","Cognitive behavioral therapy and antidepressants are similarly effective for #depression treatment. Learn more: http://bit.ly/21wkC5k  #mentalhealth","","16","9","1513290624000","2:30 PM - 14 Dec 2017","/AnnalsofIM/status/941435231827124231"
