,df,user,created_at,text,favorite_count,id_str,location,description,followers_count,listed_count,friends_count,statuses_count,time_zone,retweet_count,retweeted,id,Class,%Strength
0,0,SAYITAINTPORSH,Tue Mar 26 14:43:28 +0000 2019,"RT @Lynda_Ra3: My son just asked me how difficult the Great Depression was for me and how did I manage. 

I hate this nigga.",0,1110552857600839681,"Detroit, MI",I'm half superwoman but I'm down to earth. 🦄 FAMU Alum.🐍 LISTEN TO THAT ONE PODCAST on SoundCloud/iTunes now or download the OhSoRadio app! RIH Beas & LLKJ👑,1893,36,1001,224692,,0,False,1110552857600839681,Relational,70.37856578826904
1,0,OldManMixah,Tue Mar 26 14:43:29 +0000 2019,"Social media causes youth depression, survey says https://t.co/P80vtOHZWJ",0,1110552857965662210,"Worcester, MA","Beer, hip hop, politics, and powerlifting. VF5, MvC2, ST, XrdR, Tetris. Millennial from the 80s. #Atheist #FuckTrump #FuckFacebook",421,7,642,3552,,0,False,1110552857965662210,Relational,88.87506127357483
2,0,XVIIDEEKA,Tue Mar 26 14:43:29 +0000 2019,"@skuukkyz You can singing and dancing, please noona. I am sad right now.",0,1110552858095566848,sometimes being nsfw,"( 1997/#세븐틴 ) Main Vocal, Happy Virus aslo a leader of BSS. Not the real one. 지수's favorite sunshine [selective/bil] #디이케 for updates `on hiatus -find me on kkt",363,1,169,16263,,0,False,1110552858095566848,Prescriptive,81.29361867904663
3,0,CarlingZaida,Tue Mar 26 14:43:29 +0000 2019,RT @victorialoopz: when u make him mad n he start driving home like dis 🥴 https://t.co/DOsh5zvRhg,0,1110552858120740864,,NEW TWITTER,84,0,129,1265,,0,False,1110552858120740864,Prescriptive,81.33047819137573
4,0,itssrachell_,Tue Mar 26 14:43:29 +0000 2019,RT @1kCobi: This how broward n dade niggas drive rentals https://t.co/dWxiCSHtAh,0,1110552858208948224,"Maryland, USA",different.,561,0,448,8403,,0,False,1110552858208948224,Prescriptive,77.04732418060303
5,0,Dennis17Viper,Tue Mar 26 14:43:29 +0000 2019,"Indeed yes
Can she take friends?",0,1110552858259144705,West Coast - Canada,"Retired Chief Executive Officer. Trump in 2020 Strong advocate of Veterans, Homeless & the Elderly. Anti unskilled immigrants. Followed by Gen. Flynn  #MAGA",79674,139,79923,34617,,0,False,1110552858259144705,Prescriptive,66.64011478424072
6,0,blakeaddison12,Tue Mar 26 14:43:29 +0000 2019,"RT @boiie_: my anxiety: go crazy

my depression: go stupid",0,1110552859022630913,yeehaw usa ,🌚hhs🌚,33,0,65,101,,0,False,1110552859022630913,Relational,75.88692307472229
7,0,prejmrh,Tue Mar 26 14:43:29 +0000 2019,@Kkimmm1232 SAD REAX ONLY,0,1110552859823607808,,it ain't shit,527,1,467,8645,,0,False,1110552859823607808,Prescriptive,33.33333432674408
8,0,ChokedOnBP,Tue Mar 26 14:43:29 +0000 2019,"Is it a double standard when a tweep mean quotes a tweet, but gets upset when another tweep mean quotes their tweet?",0,1110552859446255616,"Not Where, Why",Anything I tweet is guaranteed to offend SOMEBODY. You won't hear the comforting lie from me. I'm sorry if the truth offended you.,132,1,121,1065,,0,False,1110552859446255616,Prescriptive,53.0024528503418
9,0,ebravomex,Tue Mar 26 14:43:29 +0000 2019,"RT @NextBestPicture: Honestly, I kind of wish more filmmakers would stand up to their critics and tell them to go fuck themselves. https://…",0,1110552860197031936,,,146,0,1335,10901,,0,False,1110552860197031936,Relational,71.1689829826355
10,0,assshatttt,Tue Mar 26 14:43:29 +0000 2019,RT @jhaatlyf: Sad as fuck https://t.co/iAVtlvTu2k,0,1110552860331266049,hell,you will never shine throwing shade,14,1,170,120,,0,False,1110552860331266049,Relational,66.44235849380493
11,0,bazilahamirah17,Tue Mar 26 14:43:29 +0000 2019,"RT @TweetsWith5SOS: I’ve got:

⚪️ anxiety

⚪️ insomnia 

🔘 THE KEYS TO MY DADS YELLOW HUMMER THERES A PARTY YOU CAN COME IF YOU WANNA GO TO…",0,1110552860519915522,In your dreams ,"22 ✖ Radiography Student ☢️
5SOSFAM ❤ Enchancers 🌹 A Heart Survivor 💟",366,9,784,54351,,0,False,1110552860519915522,Prescriptive,53.205353021621704
12,0,yesthataaron,Tue Mar 26 14:43:29 +0000 2019,"RT @Bible_Time: You're not a failure until you stop trying. If you have no other testimony you have this one: ""I'm still here.""",0,1110552860985606144,"Kansas, USA",Engineer 🛠 | Christian ✝️ | Anime 👽 | Comics 🦸🏾‍♂️ | Conservative 🇺🇸 | Gearhead ⚙️,80,1,70,7301,,0,False,1110552860985606144,Relational,65.04067778587341
13,0,nnisaqrsyh,Tue Mar 26 14:43:29 +0000 2019,"RT @dirtyIiar: “you look stressed out”

me: nah i’m good

also me: https://t.co/4EIHga7ujT",0,1110552861178363904,,,102,0,64,18617,,0,False,1110552861178363904,Relational,52.91087627410889
14,0,AshleySheriz,Tue Mar 26 14:43:29 +0000 2019,RT @Its_Not_Abdi: Its actually sad to see how little coverage there has been on this https://t.co/nUWY1D1IHW,0,1110552860981452801,🇰🇪 ,"Karma is a bitch, just make sure that bitch is beautiful.",240,0,239,3200,,0,False,1110552860981452801,Relational,56.25295639038086
15,0,DEKS_MAGA,Tue Mar 26 14:43:29 +0000 2019,RT @BruceDandbdavis: @DeepStateExpose WOW ‼️- LONDON is now gone. - SO SAD 😠 https://t.co/KJHkSGbh55,0,1110552860700430336,,,80,0,111,7256,,0,False,1110552860700430336,Prescriptive,64.75664973258972
16,0,ccosmictortoise,Tue Mar 26 14:43:29 +0000 2019,RT @RoxySydneey: all mental health services should have a text option instead of phone calls- phone calls can be one of the hardest things…,0,1110552860956286976,,"20, lover of cats and animal crossing • @quickb3n touches my butt 🍑",1821,13,554,16378,,0,False,1110552860956286976,Relational,90.74724316596985
17,0,fake_smile_03,Tue Mar 26 14:43:30 +0000 2019,"Im sad, deal with it
#sad #depression",0,1110552861879005186,,"Rien n'est eternel cherie
🥀Nothing lasts forever sweetheart🥀",0,0,10,5,,0,False,1110552861879005186,Relational,66.49404168128967
18,0,cosmickass,Tue Mar 26 14:43:30 +0000 2019,"RT @yeolplait: head: aching
school: stressing
grades: dropping
motivation: none
i’m: sad

everyone: “you’re just being lazy 😤”",0,1110552862105305088,existential  crisis,3/18/19,274,2,548,9524,,0,False,1110552862105305088,Relational,90.74128270149231
19,0,Cammaay,Tue Mar 26 14:43:30 +0000 2019,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",0,1110552862264836096,,Sc: cammypoohhh Insta: cammaaay,462,2,420,3653,,0,False,1110552862264836096,Prescriptive,67.12109446525574
20,0,FarolFarolero,Tue Mar 26 14:43:30 +0000 2019,RT @yvonnethebird12: My dad has been really depressed ever since our family dog passed away and today I surprised him with a new puppy 😊😭 h…,0,1110552862361305088,"Coyoacán, Distrito Federal","Me gusta el fortnite, me gustas tu.",9,0,140,141,,0,False,1110552862361305088,Relational,76.73689126968384
21,0,metline,Tue Mar 26 14:43:30 +0000 2019,"@curlyKing111 Hi Dave, Sorry that you were delayed this morning, this was due to signal failure at Aldgate Station.… https://t.co/bNL2rjGath",0,1110552862508105728,"London, England",👋 Welcome to our official @TfL feed. Here to help and provide travel advice about planned works and major disruption. https://t.co/78cm3fh2rl,121053,543,27,26994,,0,False,1110552862508105728,Relational,89.31615948677063
22,0,somsirsa,Tue Mar 26 14:43:30 +0000 2019,I’m Not Surprised by ALS’ Link to Depression – ALS News Today https://t.co/J6b6peFQpO,0,1110552862747230208,Kolkata,"Technophile, Biomedical Engineer, Mental Health Advocate, @JUFET alum",755,10,1645,118161,,0,False,1110552862747230208,Prescriptive,83.1403911113739
23,0,monsterfrog218,Tue Mar 26 14:43:30 +0000 2019,"RT @DolanDark: We tried our best, but unfortunately Article 13 has passed. I don't know why boomers are in charge of internet freedom when…",0,1110552863040667648,In my head,18 / 420 / IDGAF,60,0,333,740,,0,False,1110552863040667648,Relational,92.29687452316284
24,0,sophielou,Tue Mar 26 14:43:30 +0000 2019,"RT @andlikelaura: anxiety is cool cause you’ll just be sitting there eating pizza and suddenly your brain is all, why does my face have to…",0,1110552863183241216,,Easily amused librarian,6592,90,2159,42055,,0,False,1110552863183241216,Prescriptive,71.1019515991211
25,0,ThisIsTimaa,Tue Mar 26 14:43:30 +0000 2019,Studying french brings me depression,0,1110552863212748800,,what dumbshit have i said that got you here?,200,0,298,383,,0,False,1110552863212748800,Prescriptive,82.72131085395813
26,0,asiasrogers,Tue Mar 26 14:43:30 +0000 2019,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",0,1110552863195971584,"Baltimore, MD",Sc: Itsss.asiaaa,615,0,640,37897,,0,False,1110552863195971584,Prescriptive,67.1168327331543
27,0,rapgodhoshi,Tue Mar 26 14:43:30 +0000 2019,RT @meyaanjila: losing your appetite bcs you're sad is the worst,0,1110552863330263045,,"they/them
the accout of a 21 y/o stressed college student |                                     
95% bts 5% other (kpop/anime) stuff",45,0,200,29176,,0,False,1110552863330263045,Relational,83.11365842819214
28,0,jins_highnote,Tue Mar 26 14:43:30 +0000 2019,"RT @todorokth: if i want to die, i'll strive to live as much as i want to die https://t.co/BGsZiZlAjZ",0,1110552863225319425,magic shop,[gentle swag],183,2,491,14291,,0,False,1110552863225319425,Relational,85.77998280525208
29,0,DeVisionary,Tue Mar 26 14:43:30 +0000 2019,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",0,1110552863896494086,,dmv forever 💛 Bowie State,1184,5,1066,10825,,0,False,1110552863896494086,Prescriptive,67.11729764938354
30,0,realPowerOnline,Tue Mar 26 14:43:30 +0000 2019,RT @grandayy: The Copyright Directive including Article 13 has just been approved by EU Parliament. A vote for amending and improving it wa…,0,1110552863976181760,"Not New York, USA",YouTuber / Professional Internet Addict / #1 Sad Boi,22,0,53,247,,0,False,1110552863976181760,Prescriptive,90.36433100700378
31,0,rebereee,Tue Mar 26 14:43:30 +0000 2019,RT @perksofjustine: Unpopular fact: depression and anxiety are feelings that can be experienced by people! These become disorders (Major De…,0,1110552863938220033,somewhere in neverland,🌍,105,0,202,7611,,0,False,1110552863938220033,Relational,91.41802191734314
32,0,RollinsRRR75,Tue Mar 26 14:43:30 +0000 2019,@PaulBlackthorne I’m sad to see it go but either way I hope @StephenAmell still appears in the shows from time to time,0,1110552864135528448,"Haddonfield, Illinois ",Whatever it Takes,395,1,928,3441,,0,False,1110552864135528448,Prescriptive,78.43501567840576
33,0,pawspaws19,Tue Mar 26 14:43:30 +0000 2019,@MRCG13 @catturd2 @realDonaldTrump The same reason he won’t release his tax returns and visitor log at Mar-a-Mafia.… https://t.co/VnwbuuzWIt,0,1110552864890466304,The South-United States,"Not religious, pro-choice, free thinker, non-conformist, nature & animal lover, PT model. Help low-income people with legal matters. They have rights too!",40,0,16,1940,,0,False,1110552864890466304,Prescriptive,83.1179141998291
34,0,hwhshs_hayley,Tue Mar 26 14:43:30 +0000 2019,"RT @dirtyIiar: “you look stressed out”

me: nah i’m good

also me: https://t.co/4EIHga7ujT",0,1110552864882085888,"Edinburgh, Scotland",sc me hales092605 xx,400,1,519,2325,,0,False,1110552864882085888,Relational,52.93589234352112
35,0,CorryHinckley,Tue Mar 26 14:43:30 +0000 2019,RT @michelleinbklyn: The media's biggest failure in Russiagate is letting Trump get away with pretending to be exonerated by a four-page le…,0,1110552865007755265,,,116,27,413,15962,,0,False,1110552865007755265,Relational,74.86241459846497
36,0,HexumFox,Tue Mar 26 14:43:30 +0000 2019,@Allikuja @KaiYeena This makes me twice sad,0,1110552864890322945,"Salt Lake City, UT",Attorney. Snowboarder. Sports Fan. CEO and Founder of the “Salt Lake City Rules” Fan Club.,1869,5,672,11738,,0,False,1110552864890322945,Prescriptive,66.53492450714111
37,0,ynmra,Tue Mar 26 14:43:30 +0000 2019,RT @bukhariawesome: Everyone who played this grew up to have anxiety and the obsessive need to please everyone. https://t.co/ed53998XCz,0,1110552865540444160,,im baby,2428,4,539,81855,,0,False,1110552865540444160,Relational,86.57538294792175
38,0,AmyAyala951,Tue Mar 26 14:43:30 +0000 2019,RT @victorialoopz: when u make him mad n he start driving home like dis 🥴 https://t.co/DOsh5zvRhg,0,1110552865972473856,blessthebottle,🖕🏾,339,0,311,2951,,0,False,1110552865972473856,Prescriptive,81.33059740066528
39,0,xTrickyMickyx6,Tue Mar 26 14:43:30 +0000 2019,"RT @AeneaMateo: rt if you've ever:

- self-harmed
- attempted suicide
- been to a therapist
- cancelled on things because you don't have th…",0,1110552865829998593,,♡ Galatians 1:10 † ♡ UMaine '19 🎀NCA National Champions 2016🎀 http://vsco.com/xTrickyMickyx6,521,2,888,16102,,0,False,1110552865829998593,Relational,87.12072372436523
40,0,dippanflippa,Tue Mar 26 14:43:31 +0000 2019,RT @kurkurkurk: Lemme give ya a little anxiety. https://t.co/s9EUCjlGbN,0,1110552866526281729,in da cut,#freedahounds | do what gotta b done,1534,2,539,30687,,0,False,1110552866526281729,Relational,76.53501033782959
41,0,eps_joon,Tue Mar 26 14:43:31 +0000 2019,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",0,1110552866551414789,,18.,22,0,20,253,,0,False,1110552866551414789,Prescriptive,67.12237596511841
42,0,slacker10,Tue Mar 26 14:43:31 +0000 2019,RT @yvonnethebird12: My dad has been really depressed ever since our family dog passed away and today I surprised him with a new puppy 😊😭 h…,0,1110552867071365120,"San Luis Obispo, CA",,62,0,151,713,,0,False,1110552867071365120,Relational,76.74422860145569
43,0,albertaNDP,Tue Mar 26 14:43:31 +0000 2019,"RT @RachelNotley: Jason Kenney made a big mistake yesterday.
GSAs save lives.
This debate’s been settled.
He needs to talk to the experts,…",0,1110552867293675520,Alberta,Alberta's NDP & @RachelNotley: Fighting For You. #ableg #ABNDP  Authorized by Alberta’s New Democratic Party 1-800-465-6587,30689,373,9695,14939,,0,False,1110552867293675520,Prescriptive,93.81740689277649
44,0,PeabodyLove1,Tue Mar 26 14:43:31 +0000 2019,"RT @BetteMidler: #DonaldTrump has forced us to live through war as a nation for the last two years; he has caused depression, despair, conf…",0,1110552867583057920,Chatsworth California ,"Progressive Pragmatic
AKA Christy Kanen
If I say anything that offends you . . .
believe me.",660,1,1595,16429,,0,False,1110552867583057920,Relational,90.46435356140137
