,%Strength,Class,Pretend,care,created_at,date,daughter,description,df,draw,eat,educ,famili,favorite_count,followers_count,friends_count,haha,health,hello,help,id,id_str,ill,impress,let,listed_count,location,love,lunch,mayb,peopl,pictur,rent,retweet_count,retweeted,rock,shes,statuses_count,text,that,time,time_zone,toe,trentreznor,umbrella,user,wanna,watch
0,65.53200483322144,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:43:31 +0000 2019,,,“When I wake up I’m afraid somebody else might take my place “  ~ The Neighbourhood,0,,0.10000410676002502,0.1716819703578949,,0,7,9,,0.003058816073462367,,0.002250377321615815,1110552869235650560,1110552869235650560,0.002554287202656269,,0.017225690186023712,0,Hell,,,,0.003169710747897625,,,0,False,,,447,And the sad music,,0.030229385942220688,,,,,emi071715,,
1,56.786346435546875,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:43:32 +0000 2019,,,"Life is just a dream, and if you love me, you will sleep",0,,0.10000410676002502,0.1716819703578949,,0,1118,563,,0.003058816073462367,,0.002250377321615815,1110552872435900416,1110552872435900416,0.002554287202656269,,0.017225690186023712,19,stolen land 818 & 210 ,,,,0.003169710747897625,,,0,False,,,163817,RT @alezander: me making fun of my anxiety on twitter vs my anxiety later that night https://t.co/QPsD7eCc1b,,0.030229385942220688,,,,,pinchelizbeth,,
2,56.785351037979126,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:43:34 +0000 2019,,,Temporary account since my main @CrownMeDaQueen_ locked 😅,0,,0.10000410676002502,0.1716819703578949,,0,72,197,,0.003058816073462367,,0.002250377321615815,1110552879373398017,1110552879373398017,0.002554287202656269,,0.017225690186023712,0,"New York, USA",,,,0.003169710747897625,,,0,False,,,2991,RT @alezander: me making fun of my anxiety on twitter vs my anxiety later that night https://t.co/QPsD7eCc1b,,0.030229385942220688,,,,,NyamShit_,,
3,65.52407741546631,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:43:35 +0000 2019,,,,0,,0.10000410676002502,0.1716819703578949,,0,722,442,,0.003058816073462367,,0.002250377321615815,1110552884079259649,1110552884079259649,0.002554287202656269,,0.017225690186023712,4,,,,,0.003169710747897625,,,0,False,,,44368,RT @underyoursspell: I miss my bf again. Am sad.,,0.030229385942220688,,,,,_Kathss,,
4,47.269776463508606,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:43:39 +0000 2019,,,Add a bio to your profile,0,,0.10000410676002502,0.1716819703578949,,0,903,1427,,0.003058816073462367,,0.002250377321615815,1110552899870851078,1110552899870851078,0.002554287202656269,,0.017225690186023712,5,coffee shop,,,,0.003169710747897625,,,0,False,,,29335,RT @wassuptres: its so sad i wanna get drunk and cry,,0.030229385942220688,,,,,JannnnnnnaRynd,,
5,57.2818398475647,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:43:57 +0000 2019,,,"☕… ˀˀˀˀ ↷ ⋯ ♡ᵎ  summertime and butterflies, they all belong to your creation   #⃞hueningkai",0,,0.10000410676002502,0.1716819703578949,,0,613,630,,0.003058816073462367,,0.002250377321615815,1110552976987320320,1110552976987320320,0.002554287202656269,,0.017225690186023712,18,,,,,0.003169710747897625,,,0,False,,,2211,@karlitatv Its sad they didnt drop bts run today :&lt;,,0.030229385942220688,,,,,txtmatee,,
6,65.52681922912598,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:44:05 +0000 2019,,,Risk it to get the biscuit 😋,0,,0.10000410676002502,0.1716819703578949,,0,700,477,,0.003058816073462367,,0.002250377321615815,1110553009723858945,1110553009723858945,0.002554287202656269,,0.017225690186023712,0,🏀,,,,0.003169710747897625,,,0,False,,,16005,@Wayneyney *insert sad music*,,0.030229385942220688,,,,,ericksooooon,,
7,65.23425579071045,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:44:05 +0000 2019,,,s.c juaan_o,0,,0.10000410676002502,0.1716819703578949,,0,126,117,,0.003058816073462367,,0.002250377321615815,1110553010441252864,1110553010441252864,0.002554287202656269,,0.017225690186023712,0,"Clarksville, AR",,,,0.003169710747897625,,,0,False,,,939,What is this fluid coming out of my eyes??????😭,,0.030229385942220688,,,,,jcoe27_,,
8,56.53630495071411,Illness,0.22212126851081848,0.18235032260417938,Tue Mar 26 14:44:08 +0000 2019,,,LIBRA || IX · XXIII · MMIV || no tengas miedo de ser feliz ♡,0,,0.10000410676002502,0.1716819703578949,,0,62,229,,0.003058816073462367,,0.002250377321615815,1110553022310998017,1110553022310998017,0.002554287202656269,,0.017225690186023712,0,"rosario, cavite",,,,0.003169710747897625,,,0,False,,,1891,"RT @JiaMarie8: #AlammobaCrush na I love looking you from a far. And that sad reality hits me, na you will never look me back the way I look…",,0.030229385942220688,,,,,angelorido_ngl,,
0,72.02339172363281,Prescriptive,,,Tue Mar 26 14:43:28 +0000 2019,0.07279601693153381,0.06050962209701538,I'm half superwoman but I'm down to earth. 🦄 FAMU Alum.🐍 LISTEN TO THAT ONE PODCAST on SoundCloud/iTunes now or download the OhSoRadio app! RIH Beas & LLKJ👑,0,0.07513342052698135,,,0.043166305869817734,0,1893,1001,,,,,1110552857600839681,1110552857600839681,,,,36,"Detroit, MI",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,224692,"RT @Lynda_Ra3: My son just asked me how difficult the Great Depression was for me and how did I manage. 

I hate this nigga.",,,,0.02714640274643898,,0.06668082624673843,SAYITAINTPORSH,,
